pais,sede_id,tipo_red,url
REPUBLIC  OF  ARMENIA,EARME,Facebook,https://www.facebook.com/argentinaenarmenia
REPUBLIC  OF  ARMENIA,EARME,Instagram,https://www.instagram.com/arginarmenia/
REPUBLIC  OF  ARMENIA,EARME,Twitter/X,https://twitter.com/arginarmenia
REPUBLIC  OF  AUSTRIA,ETRIA,Facebook,https://www.facebook.com/argentinaenaustria/
REPUBLIC  OF  AUSTRIA,ETRIA,Instagram,https://www.instagram.com/argenviena/
REPUBLIC  OF  AUSTRIA,ETRIA,Twitter/X,https://twitter.com/argenviena
REPUBLIC  OF  AZERBAIJAN,EAZER,Facebook,https://www.facebook.com/embassyofargentina/
REPUBLIC  OF  AZERBAIJAN,EAZER,Instagram,https://www.instagram.com/embargentinaaz
REPUBLIC  OF  AZERBAIJAN,EAZER,Twitter/X,https://www.twitter.com/argenazer
REPUBLIC  OF  BULGARIA,EBULG,Facebook,https://www.facebook.com/argentinaenbulgaria/
REPUBLIC  OF  BULGARIA,EBULG,YouTube,https://www.youtube.com/channel/uck-usxn84lemqjwcviejzow
REPUBLIC  OF  CHILE,CANTO,Facebook,https://www.facebook.com/consulado-de-la-rep%c3%bablica-argentina-en-antofagasta-255728465291743/
REPUBLIC  OF  CHILE,CANTO,Instagram,https://www.instagram.com/consulargantofagasta/
REPUBLIC  OF  CHILE,CAREN,Facebook,https://www.facebook.com/profile.php?id=100014152878593
REPUBLIC  OF  CHILE,CPMON,Facebook,https://www.facebook.com/argentinaenpuertomontt/
REPUBLIC  OF  CHILE,CSIGO,Twitter/X,http://www.x.com/consuladocsigo
REPUBLIC  OF  CHILE,CVALP,Facebook,https://www.facebook.com/argentinaenvalparaiso
REPUBLIC  OF  CHILE,CVALP,Instagram,https://www.instagram.com/argenvalparaiso/
REPUBLIC  OF  CHILE,EHILE,Facebook,https://www.facebook.com/embargentinaenchile
REPUBLIC  OF  CHILE,EHILE,Instagram,https://www.instagram.com/embargenchile/
REPUBLIC  OF  CHILE,EHILE,Twitter/X,https://twitter.com/embargenchile
REPUBLIC  OF  COLOMBIA,ECOLO,Facebook,https://www.facebook.com/argcolombia/?ref=bookmarks
REPUBLIC  OF  COLOMBIA,ECOLO,Twitter/X,https://twitter.com/argcolombia
REPUBLIC  OF  COLOMBIA,ECOLO,Twitter/X,https://twitter.com/argentinaencolombia
REPUBLIC  OF  COSTA  RICA,ERICA,Facebook,https://www.facebook.com/argentinaencostarica/
REPUBLIC  OF  COSTA  RICA,ERICA,Instagram,https://www.instagram.com/argencostarica/
REPUBLIC  OF  CUBA,ECUBA,Facebook,https://www.facebook.com/argentinaencubalahabana/
REPUBLIC  OF  CUBA,ECUBA,Instagram,https://www.instagram.com/argentinaencuba/
REPUBLIC  OF  ECUADOR,EECUA,Facebook,https://www.facebook.com/argentina-en-ecuador-772092829594964/?ref=bookmarks
REPUBLIC  OF  ECUADOR,EECUA,Instagram,https://instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
REPUBLIC  OF  ECUADOR,EECUA,YouTube,https://www.youtube.com/channel/uc7fnoajnif8jqlybb4qdkng
REPUBLIC  OF  EL  SALVADOR,ESALV,Facebook,https://www.facebook.com/argentinaenelsalvador/
REPUBLIC  OF  EL  SALVADOR,ESALV,Instagram,https://www.instagram.com/embargenelsalvador/
REPUBLIC  OF  EL  SALVADOR,ESALV,Twitter/X,https://twitter.com/argenelsalvador
REPUBLIC  OF  FINLAND,EFINL,Facebook,https://www.facebook.com/argentinaenfinlandia/
REPUBLIC  OF  FINLAND,EFINL,Instagram,https://www.instagram.com/argenfinlandia/
REPUBLIC  OF  GUATEMALA,EGUAT,Facebook,https://www.facebook.com/emba.arge.7
REPUBLIC  OF  GUATEMALA,EGUAT,Instagram,https://www.instagram.com/argenguatemala/
REPUBLIC  OF  GUATEMALA,EGUAT,Twitter/X,https://x.com/argenguatemala
REPUBLIC  OF  HONDURAS,EHOND,Twitter/X,https://twitter.com/argenhonduras
REPUBLIC  OF  HONDURAS,EHOND,Twitter/X,https://twitter.com/argenhonduras
REPUBLIC  OF  HONDURAS,EHOND,Twitter/X,https://twitter.com/argentinaenhonduras
REPUBLIC  OF  INDIA,CGMUM,Instagram,https://www.instagram.com/argenmumbai/
REPUBLIC  OF  INDIA,EINDI,Facebook,https://www.facebook.com/argentinaenind
REPUBLIC  OF  INDIA,EINDI,Instagram,https://www.instagram.com/argentinaenind/
REPUBLIC  OF  INDIA,EINDI,Twitter/X,https://twitter.com/argentinaenind
REPUBLIC  OF  INDONESIA,EISIA,Twitter/X,https://twitter.com/argentinaindonesia
REPUBLIC  OF  KENYA,EKENY,Facebook,https://www.facebook.com/argentinaenkenia
REPUBLIC  OF  KENYA,EKENY,Instagram,https://www.instagram.com/argenkenya/
REPUBLIC  OF  KENYA,EKENY,Twitter/X,https://twitter.com/argenkenya
REPUBLIC  OF  KOREA,ECORE,Facebook,https://www.facebook.com/argentinaencorea/
REPUBLIC  OF  KOREA,ECORE,Instagram,https://www.instagram.com/embajadaargentinaencorea1/?hl=es
REPUBLIC  OF  MOZAMBIQUE,EMOZA,Facebook,https://www.facebook.com/argentinaenmozambique/
REPUBLIC  OF  MOZAMBIQUE,EMOZA,Otra,argenmozambique
REPUBLIC  OF  NICARAGUA,ENICA,Twitter/X,https://twitter.com/argennicaragua
REPUBLIC  OF  NICARAGUA,ENICA,Twitter/X,https://twitter.com/argentinaennicaragua
REPUBLIC  OF  PANAMA,EPNMA,Twitter/X,https://twitter.com/argentinaenpanama
REPUBLIC  OF  PANAMA,EPNMA,Twitter/X,https://twitter.com/argentinaenpanama
REPUBLIC  OF  PARAGUAY,CCEST,Facebook,https://www.facebook.com/argenciudaddeleste/
REPUBLIC  OF  PARAGUAY,CCEST,Instagram,https://www.instagram.com/argenciudaddeleste
REPUBLIC  OF  PARAGUAY,EPARA,Facebook,https://www.facebook.com/embajada.paraguay
REPUBLIC  OF  PARAGUAY,EPARA,Twitter/X,https://twitter.com/argenparaguay_
REPUBLIC  OF  PERU,EPERU,Facebook,https://www.facebook.com/argentinaenperu
REPUBLIC  OF  PERU,EPERU,Twitter/X,https://twitter.com/argenperu_
REPUBLIC  OF  PERU,EPERU,Twitter/X,https://twitter.com/emb_arg_peru
REPUBLIC  OF  POLAND,EPOLO,Facebook,https://www.facebook.com/profile.php?id=61560600343776
REPUBLIC  OF  SENEGAL,ESENE,Twitter/X,https://twitter.com/argensenegal
REPUBLIC  OF  SERBIA,ESERB,Otra,argentinaenserbia
REPUBLIC  OF  SERBIA,ESERB,Otra,arginserbia
REPUBLIC  OF  SINGAPORE,ESING,Instagram,https://instagram.com/argentine_embassy_singapore?igshid=ymmymta2m2y=
REPUBLIC  OF  SINGAPORE,ESING,Twitter/X,https://twitter.com/arginsingapore
REPUBLIC  OF  SOUTH  AFRICA,ESAFR,Facebook,https://facebook.com/argensudafrica
REPUBLIC  OF  SOUTH  AFRICA,ESAFR,Instagram,https://www.instagram.com/argentinaensudafrica
REPUBLIC  OF  SOUTH  AFRICA,ESAFR,Twitter/X,https://twitter.com/embargentina
REPUBLIC  OF  THE  PHILIPPINES,EFILI,Facebook,https://www.facebook.com/argentinaenfilipinas
