Country Code,Country Name,2023
ABW,Aruba,33984.7906198041
AFE,Africa Eastern and Southern,1568.15989105305
AFG,Afghanistan,413.757894705303
AFW,Africa Western and Central,1599.39298291654
AGO,Angola,2309.53413042773
ALB,Albania,8575.17134637222
AND,Andorra,46812.4484486309
ARB,Arab World,7479.68809103279
ARE,United Arab Emirates,49040.6947521035
ARG,Argentina,14187.4827252965
ARM,Armenia,8125.27395754003
ATG,Antigua and Barbuda,21494.5474000727
AUS,Australia,64835.9199754535
AUT,Austria,56033.573792065
AZE,Azerbaijan,7133.02838048328
BDI,Burundi,192.074305359351
BEL,Belgium,54690.0942734964
BEN,Benin,1394.17784663045
BFA,Burkina Faso,882.689810086163
BGD,Bangladesh,2551.01773827307
BGR,Bulgaria,15883.8618545581
BHR,Bahrain,29290.1284215098
BHS,"Bahamas, The",38231.774484278
BIH,Bosnia and Herzegovina,8663.02322987879
BLR,Belarus,7896.75388295584
BLZ,Belize,7459.99815132837
BMU,Bermuda,132604.439086216
BOL,Bolivia,3686.27996442176
BRA,Brazil,10377.5892792557
BRB,Barbados,23804.0249914995
BRN,Brunei Darussalam,32890.5492465722
BTN,Bhutan,3839.4093039286
BWA,Botswana,7826.35376483298
CAF,Central African Republic,495.978897288721
CAN,Canada,54220.3285039875
CEB,Central Europe and the Baltics,22699.5351734821
CHE,Switzerland,100631.802755125
CHI,Channel Islands,74589.1381155014
CHL,Chile,17067.0364799154
CHN,China,12951.1782397043
CIV,Cote d'Ivoire,2554.67304885576
CMR,Cameroon,1736.86091073524
COD,"Congo, Dem. Rep.",633.395661686298
COG,"Congo, Rep.",2477.97845477092
COL,Colombia,7000.83660501046
COM,Comoros,1682.20285095721
CPV,Cabo Verde,4861.29184126229
CRI,Costa Rica,16942.0268119304
CSS,Caribbean small states,17582.2636796878
CUW,Curacao,21061.741639092
CYM,Cayman Islands,97749.5078960846
CYP,Cyprus,36551.41796875
CZE,Czechia,31591.0568216357
DEU,Germany,53940.4073447462
DJI,Djibouti,3397.52015779588
DMA,Dominica,9912.96212766668
DNK,Denmark,68453.8769281145
DOM,Dominican Republic,10630.431743829
DZA,Algeria,5364.02795022731
EAP,East Asia & Pacific (excluding high income),10125.7668065643
EAR,Early-demographic dividend,4322.18279373346
EAS,East Asia & Pacific,13117.90954458
ECA,Europe & Central Asia (excluding high income),8571.4101866164
ECS,Europe & Central Asia,29835.7180523654
ECU,Ecuador,6737.84748379638
EGY,"Egypt, Arab Rep.",3456.78968456253
EMU,Euro area,45068.7010930397
ESP,Spain,33509.0127982139
EST,Estonia,30133.304450454
EUU,European Union,41392.0743803078
FCS,Fragile and conflict affected situations,1781.86010011545
FIN,Finland,52821.5114340717
FJI,Fiji,5888.73667332429
FRA,France,44690.9345395117
FRO,Faroe Islands,71774.3522353393
FSM,"Micronesia, Fed. Sts.",3941.37247887414
GAB,Gabon,8071.39777400455
GBR,United Kingdom,49200.8101526146
GEO,Georgia,8283.66960652261
GHA,Ghana,2383.90410483418
GIN,Guinea,1555.49375806861
GMB,"Gambia, The",888.157407441902
GNB,Guinea-Bissau,964.927554218909
GNQ,Equatorial Guinea,6677.793435386
GRC,Greece,23400.7278817691
GRD,Grenada,11308.2874249451
GRL,Greenland,58498.9743142433
GTM,Guatemala,5758.30876298845
GUY,Guyana,20473.7002190617
HIC,High income,48708.4624685822
HKG,"Hong Kong SAR, China",50565.4647717265
HND,Honduras,3227.45762509776
HPC,Heavily indebted poor countries (HIPC),1173.17370951469
HRV,Croatia,21865.4562838641
HTI,Haiti,1705.75808460999
HUN,Hungary,22312.1790289763
IBD,IBRD only,7964.73675347128
IBT,IDA & IBRD total,6162.30588823383
IDA,IDA total,1480.94361341054
IDB,IDA blend,1729.91982930792
IDN,Indonesia,4876.30774512252
IDX,IDA only,1347.74690969092
IND,India,2530.12031278204
IRL,Ireland,103887.800388081
IRN,"Iran, Islamic Rep.",4465.63766853306
IRQ,Iraq,5965.31835077761
ISL,Iceland,79960.0961535662
ISR,Israel,52003.7200729997
ITA,Italy,39065.4244365633
JAM,Jamaica,6839.72502408181
JOR,Jordan,4466.08314208575
